GeneID,Base-mean,log2_FC,StdErr,Wald-Stats,P-value,P-adj,chr,start,stop,strand,NA,genename
ENSMUSG00000024989,28.28054257,1.195869336,0.361343708,3.309506463,0.000934606,0.033446268,chr19,38055024,38074425,+,protein_coding,Cep55
ENSMUSG00000056091,33.70276285,1.18555881,0.365712598,3.241777331,0.001187868,0.040433315,chr6,72097591,72154571,+,protein_coding,St3gal5
ENSMUSG00000025747,71.17196219,1.184345759,0.348004069,3.40325262,0.000665887,0.024941906,chr5,30058826,30073617,-,protein_coding,Tyms
ENSMUSG00000000817,108.4367987,1.184097077,0.294595097,4.019405247,5.83E-05,0.003433553,chr1,161780688,161788495,-,protein_coding,Fasl
ENSMUSG00000027699,63.98382601,1.18290167,0.331779087,3.565329204,0.0003634,0.015092079,chr3,27097221,27153878,-,protein_coding,Ect2
ENSMUSG00000026490,33.83656428,1.178311734,0.365212285,3.226374852,0.00125369,0.042239479,chr1,179960471,180165603,+,protein_coding,Cdc42bpa
ENSMUSG00000057406,592.0854528,1.176376799,0.211319712,5.566810539,2.59E-08,4.71E-06,chr5,33820724,33897966,+,protein_coding,Nsd2
ENSMUSG00000027715,155.5938858,1.175940635,0.359374596,3.272186317,0.001067192,0.037284149,chr3,36564864,36572150,-,protein_coding,Ccna2
ENSMUSG00000046295,13.26697716,1.171684041,0.352254734,3.326240722,0.000880259,0.031932892,chr8,71406009,71409904,+,protein_coding,Ankle1
ENSMUSG00000061175,28.79093707,1.168319391,0.367256819,3.181205444,0.001466636,0.048428242,chr3,79455973,79567796,-,protein_coding,Fnip2
ENSMUSG00000003824,29.43919066,1.167276229,0.367174778,3.179075193,0.001477458,0.048577646,chr8,84872110,84888221,+,protein_coding,Syce2
ENSMUSG00000027203,306.2532433,1.166504116,0.287164129,4.062151212,4.86E-05,0.002926415,chr2,125247189,125258608,+,protein_coding,Dut
ENSMUSG00000020646,13.86802828,1.165911447,0.351657448,3.315474918,0.000914876,0.032918116,chr12,24830878,24964397,+,protein_coding,Mboat2
ENSMUSG00000061482,618.0815584,1.165223522,0.244183905,4.771909616,1.82E-06,0.000187311,chr13,23581597,23582735,+,protein_coding,Hist1h4d
ENSMUSG00000031264,23.20593093,1.163153735,0.358666109,3.242998732,0.001182787,0.040364143,chrX,134542335,134583140,-,protein_coding,Btk
ENSMUSG00000015437,203.7527926,1.162806858,0.357761505,3.25022911,0.001153121,0.039453413,chr14,56258837,56262260,-,protein_coding,Gzmb
ENSMUSG00000044703,53.48740114,1.160505909,0.335503157,3.459001455,0.000542182,0.020930121,chr14,59276912,59297522,-,protein_coding,Phf11a
ENSMUSG00000017146,163.4707504,1.159835348,0.319894008,3.625686379,0.000288195,0.01251144,chr11,101488763,101551879,-,protein_coding,Brca1
ENSMUSG00000032204,140.0595901,1.159786855,0.291271605,3.981805415,6.84E-05,0.003879831,chr9,71110658,71168657,-,protein_coding,Aqp9
ENSMUSG00000063810,144.4543296,1.15868136,0.282458812,4.102125027,4.09E-05,0.00252334,chr6,85587530,85702753,+,protein_coding,Alms1
ENSMUSG00000029101,47.32068007,1.157788071,0.351515307,3.293705992,0.000988759,0.035005756,chr5,34949444,35039644,+,protein_coding,Rgs12
ENSMUSG00000017830,200.5329939,1.155576614,0.245698831,4.703223905,2.56E-06,0.000245712,chr11,100694883,100704271,-,protein_coding,Dhx58
ENSMUSG00000089727,30.82914535,1.154928266,0.363583169,3.17651741,0.001490548,0.048577646,chr6,130115225,130129898,-,protein_coding,Klra8
ENSMUSG00000026872,68.0848376,1.152717735,0.36390013,3.167676073,0.001536626,0.049625533,chr2,44983631,45117395,-,protein_coding,Zeb2
ENSMUSG00000025001,388.1188323,1.14920147,0.242142626,4.745969295,2.08E-06,0.000205048,chr19,38930914,38971051,+,protein_coding,Hells
ENSMUSG00000000028,56.18149981,1.148998868,0.356045585,3.227111687,0.001250466,0.042238331,chr16,18780446,18811987,-,protein_coding,Cdc45
ENSMUSG00000007080,223.5579858,1.146194593,0.27277595,4.201963528,2.65E-05,0.00180603,chr5,110286305,110337474,+,protein_coding,Pole
ENSMUSG00000079227,674.1676491,1.14585367,0.24091688,4.756219941,1.97E-06,0.000197864,chr9,124121542,124132484,+,protein_coding,Ccr5
ENSMUSG00000018102,78.803935,1.144636852,0.348128335,3.287973825,0.001009112,0.035631079,chr13,23684198,23692908,+,protein_coding,Hist1h2bc
ENSMUSG00000039236,99.44837263,1.142150682,0.31850223,3.58600529,0.000335782,0.014159527,chr7,78913423,78920396,+,protein_coding,Isg20
ENSMUSG00000037242,204.2226338,1.137292279,0.257140474,4.422844292,9.74E-06,0.0007817,chr4,135213968,135272814,-,protein_coding,Clic4
ENSMUSG00000050410,82.49232013,1.136997618,0.298962519,3.803144361,0.000142871,0.00716574,chr17,35512733,35516824,-,protein_coding,Tcf19
ENSMUSG00000006345,143.1472513,1.127366027,0.28518575,3.953093831,7.71E-05,0.004274082,chr10,75561603,75586200,+,protein_coding,Ggt1
ENSMUSG00000005410,412.3851409,1.122805625,0.233614752,4.806227412,1.54E-06,0.000164236,chr8,75109568,75128439,+,protein_coding,Mcm5
ENSMUSG00000028393,78.05960001,1.121378492,0.344634861,3.253816197,0.001138659,0.039059553,chr4,62509168,62519918,-,protein_coding,Alad
ENSMUSG00000029687,396.898317,1.114601772,0.229812298,4.850052771,1.23E-06,0.000138502,chr6,47530138,47595341,-,protein_coding,Ezh2
ENSMUSG00000055612,143.5377863,1.113611816,0.309592343,3.597026353,0.000321876,0.013660124,chr2,72476158,72486893,+,protein_coding,Cdca7
ENSMUSG00000048376,778.6153137,1.10194411,0.231323455,4.763650583,1.90E-06,0.000192168,chr13,95601802,95618487,-,protein_coding,F2r
ENSMUSG00000054072,119.9104285,1.101541159,0.301352507,3.655324352,0.000256857,0.011742289,chr18,60376028,60392627,+,protein_coding,Iigp1
ENSMUSG00000031628,188.8513208,1.099461692,0.3008098,3.655006233,0.000257176,0.011742289,chr8,46617290,46639689,+,protein_coding,Casp3
ENSMUSG00000111118,284.950843,1.089393945,0.24205123,4.500675099,6.77E-06,0.000574948,chr19,12528754,12530540,-,processed_pseudogene,Gm6545
ENSMUSG00000035692,116.7944455,1.066380135,0.313192839,3.404867555,0.000661962,0.02490066,chr4,156199423,156200818,-,protein_coding,Isg15
ENSMUSG00000052776,86.20826038,1.062008203,0.302467826,3.511144361,0.000446182,0.017662191,chr5,120896255,120907521,-,protein_coding,Oas1a
ENSMUSG00000025017,211.9827145,1.044241684,0.273235314,3.821766922,0.000132499,0.006747761,chr19,41274217,41385070,-,protein_coding,Pik3ap1
ENSMUSG00000048534,467.291329,1.043973382,0.195797154,5.331912958,9.72E-08,1.55E-05,chr9,45079182,45108534,+,protein_coding,Jaml
ENSMUSG00000054206,254.0908887,1.033701887,0.27023421,3.825207354,0.000130662,0.006679909,chr10,79689019,79695261,+,protein_coding,Gzmm
ENSMUSG00000015133,374.1089407,1.030946837,0.283496285,3.636544433,0.00027632,0.012236632,chr7,66258744,66388350,-,protein_coding,Lrrk1
ENSMUSG00000000791,154.4962917,1.022977316,0.309968067,3.300266782,0.00096593,0.034381381,chr8,70808448,70821424,+,protein_coding,Il12rb1
ENSMUSG00000032661,561.4630359,1.014214043,0.257987279,3.931256017,8.45E-05,0.004604556,chr5,120753097,120777661,-,protein_coding,Oas3
ENSMUSG00000044447,500.8105422,1.008449562,0.237645131,4.243510296,2.20E-05,0.001549833,chr14,67752134,67933432,-,protein_coding,Dock5
ENSMUSG00000028367,211.7156621,1.006175693,0.244986199,4.107070914,4.01E-05,0.002514587,chr4,57943372,57956411,-,protein_coding,Txn1
ENSMUSG00000042726,296.6269396,1.005081151,0.217712951,4.616542768,3.90E-06,0.000346251,chr5,121371724,121385632,-,protein_coding,Trafd1
ENSMUSG00000047293,103.2373955,-1.005163727,0.294266345,-3.415829719,0.00063588,0.024125176,chr16,58717434,58718724,-,protein_coding,Gpr15
ENSMUSG00000064994,1588.846077,-1.010030856,0.211956415,-4.765276177,1.89E-06,0.000192091,chr16,56035752,56035887,-,snoRNA,Gm22422
ENSMUSG00000019539,74.21168047,-1.01072379,0.307546286,-3.286411953,0.001014725,0.035733969,chr7,45082912,45092221,-,protein_coding,Rcn3
ENSMUSG00000077192,170.2877592,-1.012188313,0.258279874,-3.918959301,8.89E-05,0.004806328,chr2,26639189,26639321,-,snoRNA,Snora17
ENSMUSG00000088990,251.7873778,-1.017200387,0.260575526,-3.903668168,9.47E-05,0.005038262,chr4,132838382,132838547,-,scaRNA,Gm22767
ENSMUSG00000064382,976.770816,-1.022364203,0.199236983,-5.131397741,2.88E-07,4.01E-05,chr16,23111300,23111429,+,snoRNA,Gm26447
ENSMUSG00000064655,286.6697622,-1.030533807,0.278640929,-3.698429409,0.000216938,0.010302668,chr4,123291343,123291474,+,snoRNA,Gm25788
ENSMUSG00000064451,1629.223057,-1.031483791,0.22205581,-4.645155604,3.40E-06,0.000312469,chr7,110046363,110046547,+,snoRNA,Snora23
ENSMUSG00000022708,651.9159993,-1.035862629,0.218971993,-4.730571318,2.24E-06,0.000219594,chr16,42907644,43642602,+,protein_coding,Zbtb20
ENSMUSG00000077563,315.5845297,-1.03831129,0.235913353,-4.401240017,1.08E-05,0.000848322,chr8,70895758,70895889,-,snoRNA,Snora68
ENSMUSG00000080365,617.8148951,-1.040874382,0.224784598,-4.630541373,3.65E-06,0.000328513,chr12,91573429,91573572,-,snoRNA,Gm25776
ENSMUSG00000068036,91.1639733,-1.046807741,0.288638646,-3.626706803,0.000287059,0.012503116,chr17,13760538,13906150,+,protein_coding,Afdn
ENSMUSG00000026399,410.195029,-1.06041494,0.220729228,-4.804143753,1.55E-06,0.000164628,chr1,130439026,130462744,-,protein_coding,Cd55
ENSMUSG00000088958,83.24809849,-1.06408255,0.3328123,-3.197245268,0.001387469,0.04627576,chr4,86586452,86586583,-,scaRNA,Scarna8
ENSMUSG00000065637,501.0061244,-1.07087598,0.237500348,-4.508944889,6.52E-06,0.000559674,chr8,126944846,126944980,-,snoRNA,Gm26397
ENSMUSG00000089255,179.914243,-1.120150913,0.257839502,-4.34437278,1.40E-05,0.001069032,chr17,24719675,24719803,-,snoRNA,Snora78
ENSMUSG00000064981,151.7458507,-1.124427477,0.261566167,-4.298826139,1.72E-05,0.001263082,chrX,74272483,74272620,+,snoRNA,Snora70
ENSMUSG00000065822,4131.239787,-1.130844484,0.174515541,-6.479907041,9.18E-11,4.19E-08,chr7,99482784,99482932,-,snoRNA,Snord15a
ENSMUSG00000067599,88.95477365,-1.13537615,0.326481609,-3.477611347,0.000505903,0.019701941,chr6,130218604,130233322,-,protein_coding,Klra7
ENSMUSG00000040724,227.1312953,-1.143224032,0.27193781,-4.20399073,2.62E-05,0.001799196,chr3,107101145,107115005,+,protein_coding,Kcna2
ENSMUSG00000026932,25.89783539,-1.149850204,0.363371262,-3.164395002,0.001554057,0.049944835,chr2,26055534,26122818,-,protein_coding,Nacc2
ENSMUSG00000065219,279.1996273,-1.156803035,0.249911321,-4.628854071,3.68E-06,0.000328963,chr7,45127381,45127464,-,snoRNA,Snord32a
ENSMUSG00000030283,235.3190558,-1.157152903,0.276264366,-4.188570965,2.81E-05,0.001906137,chr6,142821544,142964452,-,protein_coding,St8sia1
ENSMUSG00000092819,411.750468,-1.158250115,0.213934348,-5.414044673,6.16E-08,1.03E-05,chr18,33795163,33795295,+,snoRNA,Gm23639
ENSMUSG00000061143,53.31152749,-1.162318288,0.327492379,-3.549146068,0.000386483,0.015882513,chr3,51685906,52105076,-,protein_coding,Maml3
ENSMUSG00000022607,50.9916529,-1.164575688,0.354825859,-3.282104888,0.001030353,0.036187897,chr15,73205101,73423280,-,protein_coding,Ptk2
ENSMUSG00000088351,39.71461719,-1.164989515,0.352283416,-3.306966666,0.000943121,0.033660019,chr4,3835078,3835146,-,snoRNA,Gm24016
ENSMUSG00000065686,125.0254434,-1.169400565,0.291729082,-4.008515559,6.11E-05,0.003548449,chr11,6620318,6620454,-,snoRNA,Snora5c
ENSMUSG00000045231,20.63574919,-1.171063379,0.367278275,-3.188490745,0.001430176,0.04746105,chr16,23220655,23225368,-,protein_coding,BC106179
ENSMUSG00000029130,20.17719659,-1.172139425,0.367021975,-3.193649165,0.001404867,0.046738314,chr5,29195991,29225524,+,protein_coding,Rnf32
ENSMUSG00000086359,50.74876871,-1.173186272,0.344387718,-3.406585689,0.000657809,0.024814954,chr11,63964225,63968040,+,antisense,9630013K17Rik
ENSMUSG00000077426,67.07482747,-1.178651381,0.311631009,-3.782201857,0.000155447,0.007737882,chr5,107907344,107907476,+,snoRNA,Gm26387
ENSMUSG00000058881,54.616818,-1.178824427,0.334835553,-3.520607104,0.00043056,0.017275897,chr18,82910878,83005314,+,protein_coding,Zfp516
ENSMUSG00000064450,106.9680026,-1.185072436,0.293614541,-4.036150366,5.43E-05,0.003240788,chr8,123103037,123103123,+,snoRNA,Snord68
ENSMUSG00000080486,200.1880115,-1.1866765,0.269394016,-4.404984627,1.06E-05,0.000838793,chr10,23785749,23785823,-,snoRNA,Snord100
ENSMUSG00000089542,6996.136573,-1.195848089,0.185092576,-6.460810657,1.04E-10,4.45E-08,chr11,69668851,69668995,-,snoRNA,Gm25835
ENSMUSG00000032549,83.61890921,-1.197656646,0.304312245,-3.935617666,8.30E-05,0.004540404,chr9,103111786,103185276,+,protein_coding,Rab6b
ENSMUSG00000093178,302.133522,-1.207784653,0.231090178,-5.226464688,1.73E-07,2.69E-05,chr1,9942462,9942549,-,snoRNA,Snord87
ENSMUSG00000065124,341.0094042,-1.21660443,0.240498509,-5.058677644,4.22E-07,5.48E-05,chr2,32963290,32963420,+,snoRNA,Snora65
ENSMUSG00000065282,78.14774673,-1.220735233,0.306019852,-3.989072032,6.63E-05,0.003802189,chr9,15313801,15313932,+,snoRNA,Gm24455
ENSMUSG00000065273,55.05226147,-1.22088376,0.328569914,-3.715750308,0.000202602,0.009790685,chr17,35247174,35247250,+,snoRNA,Gm25128
ENSMUSG00000064493,200.3729432,-1.222334582,0.250145018,-4.886503803,1.03E-06,0.000118182,chr12,111540940,111541067,+,snoRNA,Snora28
ENSMUSG00000027978,108.5034611,-1.24064741,0.305222056,-4.064737078,4.81E-05,0.002907375,chr3,123446912,123506597,+,protein_coding,Prss12
ENSMUSG00000077611,307.5920103,-1.245221556,0.22028654,-5.652735545,1.58E-08,3.17E-06,chr14,32191853,32192050,-,snoRNA,Gm23946
ENSMUSG00000079853,39.88018222,-1.251709167,0.356536877,-3.510742498,0.000446857,0.017662191,chr6,130363916,130386874,-,protein_coding,Klra1
ENSMUSG00000096684,54.74895071,-1.252514411,0.341492491,-3.667765599,0.000244679,0.011367716,chr16,43886681,43886814,-,snoRNA,Gm25989
ENSMUSG00000065208,399.270425,-1.273062429,0.219689193,-5.794834095,6.84E-09,1.56E-06,chr16,23111616,23111755,+,snoRNA,Gm24616
ENSMUSG00000069114,51.43113046,-1.275613829,0.330206513,-3.863078947,0.000111967,0.00579122,chr3,9250601,9285333,+,protein_coding,Zbtb10
ENSMUSG00000039193,12.48102364,-1.283706537,0.353613324,-3.630255001,0.000283141,0.012436893,chr17,74426294,74459108,-,protein_coding,Nlrc4
ENSMUSG00000070167,303.1840488,-1.298395686,0.23496461,-5.525920197,3.28E-08,5.86E-06,chr19,8888537,8888685,-,snoRNA,Snora57
ENSMUSG00000087935,180.9785672,-1.310387671,0.2523658,-5.192413843,2.08E-07,3.05E-05,chr16,23110755,23110933,+,snoRNA,Snora81
ENSMUSG00000065687,135.2150247,-1.322706184,0.283296385,-4.668983627,3.03E-06,0.000282251,chr1,127375130,127375239,+,snoRNA,Gm23734
ENSMUSG00000064637,71.89194628,-1.325874915,0.32323231,-4.101925692,4.10E-05,0.00252334,chr17,12922789,12922917,+,snoRNA,Snora20
ENSMUSG00000087819,133.2868833,-1.326588677,0.283440137,-4.680313419,2.86E-06,0.000268986,chr10,111481492,111481636,+,snoRNA,Gm25117
ENSMUSG00000064966,12364.46892,-1.326707876,0.181396075,-7.313873127,2.60E-13,3.12E-10,chr7,99479562,99479707,-,snoRNA,Snord15b
ENSMUSG00000092680,209.8366983,-1.380086112,0.257599151,-5.357494792,8.44E-08,1.38E-05,chr4,117155769,117155848,-,snoRNA,Snord55
ENSMUSG00000065642,121.3331711,-1.388752019,0.284684244,-4.878218751,1.07E-06,0.000122192,chrX,37082911,37083042,-,snoRNA,Snora69
ENSMUSG00000065272,193.3152049,-1.402298477,0.268401299,-5.224633727,1.75E-07,2.69E-05,chr2,130278015,130278087,+,snoRNA,Snord57
ENSMUSG00000065287,663.7710467,-1.408837484,0.212475223,-6.63059657,3.34E-11,1.92E-08,chr2,130276236,130276369,+,snoRNA,Gm24451
ENSMUSG00000053580,43.31244892,-1.413632625,0.351620027,-4.020341608,5.81E-05,0.003433553,chr11,105589985,105929304,+,protein_coding,Tanc2
ENSMUSG00000065016,289.7570112,-1.426575558,0.241714539,-5.90190215,3.59E-09,8.65E-07,chr7,109520119,109520251,+,snoRNA,Snora3
ENSMUSG00000077222,519.3446843,-1.427239851,0.218958609,-6.518308919,7.11E-11,3.38E-08,chr5,107905176,107905308,+,snoRNA,Gm22270
ENSMUSG00000077505,396.2958133,-1.432506894,0.254716656,-5.623923136,1.87E-08,3.53E-06,chr12,59134071,59134193,+,snoRNA,Gm24233
ENSMUSG00000065126,159.3735225,-1.444383569,0.256214484,-5.637400155,1.73E-08,3.31E-06,chr11,106500992,106501062,+,snoRNA,Snord104
ENSMUSG00000077709,797.9968074,-1.446412806,0.225508077,-6.414017748,1.42E-10,5.69E-08,chr17,24720771,24720905,+,snoRNA,Snora64
ENSMUSG00000064901,3047.567981,-1.451509647,0.184832912,-7.853090819,4.06E-15,8.96E-12,chr11,97781638,97781775,-,snoRNA,Snora21
ENSMUSG00000065196,50.60104583,-1.455575121,0.34410222,-4.23006606,2.34E-05,0.001628104,chr4,130749633,130749706,+,snoRNA,Snord85
ENSMUSG00000077254,476.9435897,-1.46223416,0.243728251,-5.999444694,1.98E-09,5.46E-07,chr5,110692048,110692181,-,snoRNA,Gm26079
ENSMUSG00000080478,85.75374041,-1.464216401,0.310483357,-4.715925569,2.41E-06,0.000234263,chr7,15938761,15938870,-,snoRNA,Snord23
ENSMUSG00000084708,3319.95682,-1.46493365,0.224086268,-6.53736466,6.26E-11,3.38E-08,chr11,69669634,69669778,-,snoRNA,Gm22988
ENSMUSG00000065304,243.3722708,-1.468135732,0.25670519,-5.719150948,1.07E-08,2.32E-06,chr5,129789538,129789673,+,snoRNA,Gm23245
ENSMUSG00000021565,34.31093835,-1.475637771,0.352500295,-4.186202938,2.84E-05,0.001913201,chr13,73679744,73700780,-,protein_coding,Slc6a19
ENSMUSG00000065899,371.7705047,-1.490464778,0.228351106,-6.527074936,6.71E-11,3.38E-08,chr15,34440790,34440922,-,snoRNA,Gm24523
ENSMUSG00000047880,222.9758767,-1.495708516,0.239447766,-6.246491849,4.20E-10,1.50E-07,chr9,44511786,44561877,-,protein_coding,Cxcr5
ENSMUSG00000065259,175.7279151,-1.503443711,0.247591242,-6.07228148,1.26E-09,3.71E-07,chr7,127527873,127528003,+,snoRNA,Snora30
ENSMUSG00000087963,116.0552624,-1.52010338,0.296803831,-5.12157601,3.03E-07,4.18E-05,chr13,49684300,49684433,+,snoRNA,Gm25394
ENSMUSG00000064453,1738.298606,-1.567476282,0.213907663,-7.32781733,2.34E-13,3.12E-10,chr5,107904554,107904648,+,snoRNA,Snord21
ENSMUSG00000064751,294.7096922,-1.595550186,0.248538796,-6.419722852,1.37E-10,5.65E-08,chr4,117155185,117155289,-,snoRNA,Gm26330
ENSMUSG00000065041,2184.520498,-1.620322533,0.170868171,-9.482880992,2.47E-21,1.64E-17,chr9,120128779,120128935,+,snoRNA,Gm24044
ENSMUSG00000093044,127.8745854,-1.624968925,0.283787595,-5.726004067,1.03E-08,2.27E-06,chr14,52209784,52209894,-,snoRNA,Snord8
ENSMUSG00000088008,89.52125768,-1.627259743,0.309451827,-5.258523627,1.45E-07,2.29E-05,chr5,135053987,135054116,-,scaRNA,Gm25492
ENSMUSG00000035133,222.66677,-1.628639527,0.244299776,-6.666561678,2.62E-11,1.65E-08,chr12,52504015,52571975,+,protein_coding,Arhgap5
ENSMUSG00000103168,37.04714662,-1.728986827,0.367250795,-4.707918545,2.50E-06,0.000241874,chr12,115262683,115287908,+,lincRNA,Gm30948
ENSMUSG00000080465,286.9806804,-1.729081768,0.236859207,-7.300040354,2.88E-13,3.17E-10,chr6,71882556,71882693,-,snoRNA,Gm22486
ENSMUSG00000048215,80.1215869,-1.758872547,0.310501982,-5.664609718,1.47E-08,3.05E-06,chr5,110514922,110525980,+,lincRNA,A630023P12Rik
ENSMUSG00000077714,10098.26193,-1.813377515,0.180339945,-10.05532919,8.70E-24,1.15E-19,chr2,144265978,144266216,-,snoRNA,Snord17
